id_student,gender,region,highest_education,studied_credits,imd_band,total_clicks,avg_score,engagement_level,performance_level,risk_level,pass_flag,dropout_flag,final_result
248270,M,North Western Region,Lower Than A Level,90,20-30%,1969.0,78.4,High,High,Low Risk,1,0,Pass
255548,M,Wales,Lower Than A Level,60,20-30%,2580.0,71.4,High,High,Safe,1,0,Pass
256815,M,North Western Region,HE Qualification,120,10-20,1481.0,76.8,Medium,High,Low Risk,1,0,Pass
258392,F,West Midlands Region,Lower Than A Level,60,30-40%,844.0,58.8,Medium,Medium,High Risk,1,0,Pass
258894,F,East Anglian Region,Lower Than A Level,60,70-80%,4963.0,64.8,High,Medium,Safe,1,0,Pass
260355,F,London Region,A Level or Equivalent,60,80-90%,426.0,57.5,Low,Medium,High Risk,0,1,Withdrawn
262011,M,East Midlands Region,A Level or Equivalent,60,20-30%,1066.0,71.0,Medium,High,Low Risk,1,0,Pass
262934,F,North Western Region,A Level or Equivalent,60,30-40%,2407.0,76.6,High,High,Safe,1,0,Pass
268073,M,East Anglian Region,A Level or Equivalent,90,10-20,3210.0,74.6,High,High,Safe,0,0,Fail
268733,M,East Anglian Region,A Level or Equivalent,180,30-40%,191.0,43.0,Low,Low,Very High Risk,0,1,Withdrawn
271251,M,Scotland,A Level or Equivalent,60,80-90%,3348.0,76.4,High,High,Safe,1,0,Pass
277880,F,South East Region,A Level or Equivalent,60,60-70%,2028.0,67.66666666666667,High,Medium,Low Risk,0,1,Withdrawn
279572,M,London Region,Lower Than A Level,60,40-50%,1183.0,79.2,Medium,High,Low Risk,1,0,Distinction
281022,F,Scotland,A Level or Equivalent,150,30-40%,492.0,73.4,Medium,High,High Risk,1,0,Pass
281250,M,Wales,Lower Than A Level,60,70-80%,130.0,55.4,Low,Medium,Very High Risk,0,0,Fail
281589,M,North Western Region,HE Qualification,60,30-40%,59.0,,Low,,Very High Risk,0,0,Fail
282821,M,South West Region,A Level or Equivalent,60,30-40%,1961.0,60.6,High,Medium,Low Risk,1,0,Pass
286488,M,South East Region,A Level or Equivalent,60,90-100%,1046.0,71.0,Medium,High,Low Risk,1,0,Pass
287548,M,East Anglian Region,A Level or Equivalent,120,90-100%,483.0,67.8,Medium,Medium,High Risk,1,0,Pass
290201,M,Wales,A Level or Equivalent,60,20-30%,1740.0,70.4,High,High,Low Risk,1,0,Pass
290757,M,North Western Region,A Level or Equivalent,60,30-40%,652.0,75.0,Medium,High,High Risk,1,0,Pass
291334,M,South East Region,A Level or Equivalent,60,90-100%,5231.0,83.6,High,High,Safe,1,0,Distinction
292923,F,South East Region,A Level or Equivalent,180,90-100%,,,,,,0,1,Withdrawn
293699,M,East Midlands Region,A Level or Equivalent,120,70-80%,187.0,46.75,Low,Low,Very High Risk,1,0,Pass
294570,M,South East Region,HE Qualification,60,90-100%,1775.0,78.2,High,High,Low Risk,1,0,Pass
294594,M,South East Region,A Level or Equivalent,60,90-100%,865.0,52.8,Medium,Medium,High Risk,1,0,Pass
295741,M,South East Region,A Level or Equivalent,240,40-50%,3099.0,71.0,High,High,Safe,0,0,Fail
296332,M,South Region,Post Graduate Qualification,60,90-100%,2152.0,86.8,High,High,Low Risk,1,0,Distinction
298696,F,South East Region,HE Qualification,60,80-90%,514.0,80.8,Medium,High,High Risk,1,0,Pass
300398,M,West Midlands Region,A Level or Equivalent,60,30-40%,1997.0,78.8,High,High,Low Risk,1,0,Pass
302302,F,East Anglian Region,A Level or Equivalent,60,40-50%,513.0,58.666666666666664,Medium,Medium,High Risk,0,0,Fail
305152,M,North Western Region,A Level or Equivalent,60,70-80%,146.0,64.0,Low,Medium,Very High Risk,0,0,Fail
305386,M,West Midlands Region,A Level or Equivalent,120,70-80%,1277.0,78.0,Medium,High,Low Risk,1,0,Pass
305539,F,Wales,Lower Than A Level,120,80-90%,68.0,,Low,,Very High Risk,0,1,Withdrawn
306107,M,West Midlands Region,A Level or Equivalent,120,50-60%,987.0,58.2,Medium,Medium,Low Risk,1,0,Pass
306466,M,East Anglian Region,A Level or Equivalent,60,90-100%,1220.0,82.0,Medium,High,Low Risk,1,0,Pass
306897,F,London Region,A Level or Equivalent,60,10-20,2742.0,62.6,High,Medium,Safe,1,0,Pass
307061,F,East Midlands Region,HE Qualification,60,10-20,1081.0,81.2,Medium,High,Low Risk,1,0,Pass
307866,M,West Midlands Region,A Level or Equivalent,60,70-80%,1476.0,60.0,Medium,Medium,Low Risk,1,0,Pass
311917,M,South West Region,A Level or Equivalent,120,60-70%,2230.0,59.2,High,Medium,Safe,1,0,Pass
312537,M,South Region,Post Graduate Qualification,60,90-100%,12882.0,87.8,High,High,Safe,1,0,Distinction
312782,M,South Region,A Level or Equivalent,60,90-100%,281.0,61.8,Low,Medium,Very High Risk,1,0,Pass
318933,F,East Anglian Region,HE Qualification,120,80-90%,1281.0,66.6,Medium,Medium,Low Risk,1,0,Pass
319047,F,East Midlands Region,A Level or Equivalent,60,50-60%,6589.0,78.4,High,High,Safe,1,0,Pass
321942,M,South Region,HE Qualification,60,90-100%,10083.0,80.4,High,High,Safe,1,0,Pass
324002,M,East Anglian Region,HE Qualification,60,40-50%,1901.0,80.4,High,High,Low Risk,1,0,Pass
324084,F,South West Region,A Level or Equivalent,60,10-20,1961.0,57.6,High,Medium,Low Risk,1,0,Pass
324282,M,South East Region,A Level or Equivalent,120,90-100%,133.0,61.2,Low,Medium,Very High Risk,1,0,Pass
331358,F,South Region,HE Qualification,60,90-100%,6588.0,84.66666666666667,High,High,Safe,0,1,Withdrawn
332789,F,East Anglian Region,A Level or Equivalent,60,60-70%,1655.0,74.4,High,High,Low Risk,1,0,Pass
333059,M,Scotland,A Level or Equivalent,120,20-30%,301.0,65.8,Low,Medium,Very High Risk,1,0,Pass
333323,M,Scotland,HE Qualification,60,80-90%,648.0,74.4,Medium,High,High Risk,1,0,Pass
334259,F,London Region,A Level or Equivalent,150,50-60%,332.0,53.0,Low,Medium,High Risk,0,0,Fail
334333,F,South West Region,A Level or Equivalent,240,0-10%,303.0,36.0,Low,Low,Very High Risk,0,1,Withdrawn
335764,F,South East Region,A Level or Equivalent,60,20-30%,3928.0,86.875,High,High,Safe,0,1,Withdrawn
336207,M,East Anglian Region,A Level or Equivalent,120,90-100%,1316.0,68.2,Medium,Medium,Low Risk,1,0,Pass
339972,M,North Region,A Level or Equivalent,60,80-90%,333.0,49.8,Low,Low,High Risk,1,0,Pass
341872,M,East Anglian Region,Lower Than A Level,180,40-50%,201.0,64.2,Low,Medium,Very High Risk,0,0,Fail
342007,F,West Midlands Region,HE Qualification,60,70-80%,3178.0,82.33333333333333,High,High,Safe,0,1,Withdrawn
342514,M,Scotland,Lower Than A Level,60,50-60%,1950.0,77.2,High,High,Low Risk,1,0,Pass
342972,M,Yorkshire Region,HE Qualification,60,0-10%,838.0,60.4,Medium,Medium,High Risk,1,0,Pass
343446,M,Ireland,HE Qualification,120,70-80%,3644.0,78.4,High,High,Safe,1,0,Pass
344282,M,Yorkshire Region,A Level or Equivalent,60,10-20,65.0,49.2,Low,Low,Very High Risk,0,0,Fail
345068,M,East Anglian Region,A Level or Equivalent,180,60-70%,547.0,78.0,Medium,High,High Risk,1,0,Pass
345357,M,Yorkshire Region,A Level or Equivalent,60,30-40%,2219.0,80.4,High,High,Safe,1,0,Distinction
346025,M,East Anglian Region,A Level or Equivalent,120,50-60%,569.0,82.4,Medium,High,High Risk,1,0,Pass
346843,F,Scotland,HE Qualification,120,50-60%,164.0,,Low,,Very High Risk,0,0,Fail
350188,M,North Western Region,HE Qualification,60,80-90%,761.0,73.8,Medium,High,High Risk,1,0,Pass
354858,M,South Region,HE Qualification,120,90-100%,198.0,,Low,,Very High Risk,0,1,Withdrawn
357668,M,Yorkshire Region,A Level or Equivalent,60,10-20,166.0,57.0,Low,Medium,Very High Risk,0,0,Fail
364177,M,East Anglian Region,Lower Than A Level,60,70-80%,821.0,69.0,Medium,Medium,High Risk,0,0,Fail
365244,F,London Region,A Level or Equivalent,120,0-10%,891.0,56.4,Medium,Medium,High Risk,1,0,Pass
365642,M,East Anglian Region,Lower Than A Level,60,10-20,2129.0,70.0,High,Medium,Low Risk,1,0,Pass
366483,M,South West Region,HE Qualification,60,40-50%,1465.0,76.8,Medium,High,Low Risk,1,0,Pass
368194,F,South West Region,A Level or Equivalent,120,50-60%,437.0,50.4,Low,Medium,High Risk,1,0,Pass
368824,M,Wales,HE Qualification,120,50-60%,292.0,55.6,Low,Medium,Very High Risk,0,0,Fail
368963,M,Yorkshire Region,Lower Than A Level,180,0-10%,677.0,66.4,Medium,Medium,High Risk,1,0,Pass
376439,M,North Region,HE Qualification,60,,2342.0,87.0,High,High,Safe,1,0,Distinction
376581,F,South Region,A Level or Equivalent,60,80-90%,2333.0,72.8,High,High,Safe,1,0,Pass
380953,M,East Midlands Region,A Level or Equivalent,60,80-90%,1062.0,67.8,Medium,Medium,Low Risk,1,0,Pass
383254,M,Yorkshire Region,A Level or Equivalent,120,90-100%,543.0,75.6,Medium,High,High Risk,1,0,Pass
386924,M,Ireland,Lower Than A Level,120,,164.0,67.8,Low,Medium,Very High Risk,1,0,Pass
386952,M,Yorkshire Region,A Level or Equivalent,120,70-80%,910.0,68.0,Medium,Medium,Low Risk,1,0,Pass
388722,F,London Region,Lower Than A Level,60,80-90%,671.0,63.8,Medium,Medium,High Risk,1,0,Pass
388885,M,South West Region,A Level or Equivalent,60,90-100%,875.0,60.6,Medium,Medium,High Risk,1,0,Pass
390890,M,Scotland,A Level or Equivalent,90,0-10%,997.0,68.625,Medium,Medium,Low Risk,0,1,Withdrawn
392756,M,West Midlands Region,A Level or Equivalent,120,70-80%,363.0,45.0,Low,Low,High Risk,0,0,Fail
392931,F,North Western Region,A Level or Equivalent,120,50-60%,3003.0,68.4,High,Medium,Safe,1,0,Pass
393207,M,North Western Region,A Level or Equivalent,60,60-70%,876.0,74.2,Medium,High,High Risk,1,0,Pass
396872,M,Yorkshire Region,HE Qualification,180,50-60%,996.0,61.4,Medium,Medium,Low Risk,1,0,Pass
398552,M,Yorkshire Region,Lower Than A Level,240,90-100%,1183.0,46.4,Medium,Low,Low Risk,0,0,Fail
401869,F,South East Region,Lower Than A Level,60,80-90%,955.0,65.0,Medium,Medium,Low Risk,1,0,Pass
402470,M,South West Region,Lower Than A Level,60,50-60%,1445.0,72.6,Medium,High,Low Risk,1,0,Pass
404804,M,Wales,Lower Than A Level,120,20-30%,509.0,43.8,Medium,Low,High Risk,1,0,Pass
405088,M,North Region,A Level or Equivalent,120,20-30%,1388.0,77.2,Medium,High,Low Risk,1,0,Pass
405961,M,Scotland,A Level or Equivalent,240,90-100%,,,,,,0,1,Withdrawn
414117,M,Yorkshire Region,A Level or Equivalent,120,50-60%,807.0,76.4,Medium,High,High Risk,1,0,Pass
415969,M,West Midlands Region,HE Qualification,90,0-10%,1417.0,59.666666666666664,Medium,Medium,Low Risk,0,1,Withdrawn
420087,M,Scotland,A Level or Equivalent,60,40-50%,342.0,76.0,Low,High,High Risk,0,0,Fail
429958,F,North Western Region,A Level or Equivalent,60,70-80%,411.0,58.4,Low,Medium,High Risk,1,0,Pass
441018,F,South East Region,A Level or Equivalent,150,70-80%,646.0,59.8,Medium,Medium,High Risk,1,0,Pass
441888,M,London Region,A Level or Equivalent,120,20-30%,739.0,70.6,Medium,High,High Risk,1,0,Pass
442442,M,South West Region,HE Qualification,120,80-90%,1009.0,40.5,Medium,Low,Low Risk,0,1,Withdrawn
444677,M,London Region,HE Qualification,60,30-40%,1241.0,87.6,Medium,High,Low Risk,1,0,Distinction
470588,M,South East Region,HE Qualification,60,90-100%,842.0,79.33333333333333,Medium,High,High Risk,0,1,Withdrawn
489455,F,South West Region,A Level or Equivalent,60,20-30%,2832.0,70.6,High,High,Safe,1,0,Pass
494424,F,North Region,A Level or Equivalent,60,80-90%,58.0,,Low,,Very High Risk,0,0,Fail
495284,M,South East Region,HE Qualification,120,80-90%,901.0,66.6,Medium,Medium,High Risk,1,0,Pass
498857,M,North Western Region,HE Qualification,60,80-90%,998.0,73.0,Medium,High,Low Risk,1,0,Pass
508818,M,London Region,A Level or Equivalent,120,40-50%,1129.0,71.8,Medium,High,Low Risk,1,0,Pass
512460,M,South East Region,HE Qualification,120,90-100%,521.0,72.4,Medium,High,High Risk,1,0,Pass
544103,M,North Western Region,HE Qualification,120,40-50%,2328.0,81.0,High,High,Safe,1,0,Pass
550383,M,South East Region,HE Qualification,60,60-70%,910.0,72.0,Medium,High,Low Risk,1,0,Pass
564450,M,West Midlands Region,HE Qualification,120,80-90%,224.0,59.2,Low,Medium,Very High Risk,0,0,Fail
568601,F,Scotland,HE Qualification,60,30-40%,488.0,81.5,Medium,High,High Risk,0,1,Withdrawn
572652,M,West Midlands Region,HE Qualification,120,70-80%,780.0,73.2,Medium,High,High Risk,1,0,Pass
580389,M,Ireland,HE Qualification,120,90-100%,1271.0,71.4,Medium,High,Low Risk,1,0,Pass
581129,M,East Anglian Region,A Level or Equivalent,120,30-40%,194.0,40.0,Low,Low,Very High Risk,0,0,Fail
588775,M,South West Region,A Level or Equivalent,120,90-100%,7067.0,82.8,High,High,Safe,1,0,Pass
591774,M,South Region,Post Graduate Qualification,60,90-100%,605.0,76.2,Medium,High,High Risk,1,0,Pass
603861,M,North Region,HE Qualification,60,,1105.0,63.0,Medium,Medium,Low Risk,0,1,Withdrawn
606143,M,Scotland,Post Graduate Qualification,60,90-100%,406.0,66.0,Low,Medium,High Risk,0,0,Fail
704156,M,South Region,HE Qualification,120,90-100%,3064.0,66.0,High,Medium,Safe,1,0,Pass
705379,M,West Midlands Region,A Level or Equivalent,120,60-70%,5680.0,80.8,High,High,Safe,1,0,Distinction
721259,F,South Region,Lower Than A Level,120,50-60%,4108.0,65.0,High,Medium,Safe,0,1,Withdrawn
749412,M,South Region,Lower Than A Level,60,70-80%,4007.0,72.0,High,High,Safe,1,0,Pass
760729,M,West Midlands Region,A Level or Equivalent,60,60-70%,7288.0,81.2,High,High,Safe,1,0,Distinction
905042,F,East Anglian Region,A Level or Equivalent,60,90-100%,3004.0,76.4,High,High,Safe,1,0,Pass
949618,F,South West Region,A Level or Equivalent,60,50-60%,1357.0,61.8,Medium,Medium,Low Risk,1,0,Pass
958987,M,North Western Region,HE Qualification,60,40-50%,1216.0,77.2,Medium,High,Low Risk,1,0,Pass
968578,F,East Anglian Region,A Level or Equivalent,60,40-50%,870.0,72.0,Medium,High,High Risk,1,0,Pass
969076,M,South West Region,A Level or Equivalent,180,80-90%,1980.0,59.75,High,Medium,Low Risk,0,1,Withdrawn
971027,F,West Midlands Region,HE Qualification,60,90-100%,3098.0,68.0,High,Medium,Safe,1,0,Pass
978739,M,South Region,HE Qualification,60,90-100%,5988.0,56.6,High,Medium,Safe,1,0,Pass
1035023,F,London Region,Lower Than A Level,60,30-40%,1896.0,70.0,High,Medium,Low Risk,1,0,Pass
1105478,M,Scotland,HE Qualification,60,80-90%,1695.0,82.6,High,High,Low Risk,1,0,Pass
1352868,M,Yorkshire Region,A Level or Equivalent,60,20-30%,1732.0,68.57142857142857,High,Medium,Low Risk,0,1,Withdrawn
1401935,M,West Midlands Region,A Level or Equivalent,60,70-80%,240.0,35.0,Low,Low,Very High Risk,0,0,Fail
1402638,F,East Midlands Region,HE Qualification,60,30-40%,910.0,75.2,Medium,High,Low Risk,1,0,Pass
1414443,F,Yorkshire Region,A Level or Equivalent,120,10-20,1907.0,59.0,High,Medium,Low Risk,0,0,Fail
1456619,M,South West Region,A Level or Equivalent,60,90-100%,1173.0,63.0,Medium,Medium,Low Risk,0,1,Withdrawn
1465690,M,West Midlands Region,HE Qualification,120,40-50%,3460.0,81.8,High,High,Safe,1,0,Pass
1472925,F,East Anglian Region,Lower Than A Level,60,40-50%,1462.0,61.9,Medium,Medium,Low Risk,0,0,Fail
1488959,M,London Region,A Level or Equivalent,60,70-80%,3493.0,61.8,High,Medium,Safe,1,0,Pass
1518989,F,South East Region,Lower Than A Level,60,80-90%,4202.0,73.0,High,High,Safe,1,0,Pass
1618738,M,London Region,Lower Than A Level,60,90-100%,723.0,79.6,Medium,High,High Risk,1,0,Pass
1620151,M,South Region,HE Qualification,60,90-100%,998.0,77.5,Medium,High,Low Risk,0,0,Fail
